title,firms,deal_value,summary,body,deal_date
Streets merges with Stevens & Willey,"Streets, Stevens & Willey",Undisclosed,"70-year-old Barnstaple, North Devon firm. Extends Streets into South West.","70-year-old Barnstaple, North Devon firm. Extends Streets into South West.",2025-06-30
Streets merges with MacMahon Leggate,"Streets, MacMahon Leggate",Undisclosed,Burnley-based; extends North West footprint.,Burnley-based; extends North West footprint.,2025-07-03
Streets merges with Rowlands Webster,"Streets, Rowlands Webster",Undisclosed,"Dorset-based (est. 1997). Becomes Streets Rowlands Webster, then Streets Bournemouth.","Dorset-based (est. 1997). Becomes Streets Rowlands Webster, then Streets Bournemouth.",2025-11-01
Shaw Gibbs merges with Martin and Company,"Shaw Gibbs, Martin and Company",Undisclosed,"Winchester, Thame and Liss; farming/agricultural, landed estates and private client specialist. Grows Shaw Gibbs to 400 people, 10 offices.","Winchester, Thame and Liss; farming/agricultural, landed estates and private client specialist. Grows Shaw Gibbs to 400 people, 10 offices.",2025-01-14
Shaw Gibbs acquires Reality HR,"Shaw Gibbs, Reality HR",Undisclosed,UK's largest independent HR consultancy. 11th acquisition since 2023; combined team of 645 across 18 offices.,UK's largest independent HR consultancy. 11th acquisition since 2023; combined team of 645 across 18 offices.,2025-12-08
Menzies merges with Beever and Struthers,"Menzies LLP, Beever and Struthers",£110m combined fee income,"Creates a national firm with 1,000+ professionals (London, Manchester, Birmingham, Cardiff, South East). Beever is UK's leading auditor to the social housing sector.","Creates a national firm with 1,000+ professionals (London, Manchester, Birmingham, Cardiff, South East). Beever is UK's leading auditor to the social housing sector.",2025-08-04
Armstrong Watson merges with Martin Aitken,"Armstrong Watson, Martin Aitken",Undisclosed,"Glasgow-based; 110 colleagues join, directors become partners. Armstrong Watson reaches 800+ staff. Third merger in 12 months.","Glasgow-based; 110 colleagues join, directors become partners. Armstrong Watson reaches 800+ staff. Third merger in 12 months.",2025-04-07
MHA acquires Baker Tilly South-East Europe,"MHA, Baker Tilly South-East Europe",€24m (~£20m),"First acquisition as listed company. 12 partners, 400+ professionals, 7 offices across Cyprus, Greece, SE Europe. €19.4m revenue.","First acquisition as listed company. 12 partners, 400+ professionals, 7 offices across Cyprus, Greece, SE Europe. €19.4m revenue.",2025-08-11
Kinbrook Group acquires Old Mill and Brook Financial,"Kinbrook Group, Old Mill, Brook Financial",Undisclosed (Old Mill: £28m revenue),"Old Mill has 350+ staff, 5 South West offices, 5,000+ clients. Becomes Kinbrook's SW anchor (alongside Duncan & Toplis and Beavis Morgan). Group reaches 24 offices.","Old Mill has 350+ staff, 5 South West offices, 5,000+ clients. Becomes Kinbrook's SW anchor (alongside Duncan & Toplis and Beavis Morgan). Group reaches 24 offices.",2025-11-04
Rouse Partners merges with Finerva,"Rouse Partners, Finerva",Undisclosed,Beaconsfield-based Top 100 firm (est. 1923) merges with London tech specialist Finerva. 110+ combined staff. Notably retains full independence from PE.,Beaconsfield-based Top 100 firm (est. 1923) merges with London tech specialist Finerva. 110+ combined staff. Notably retains full independence from PE.,2025-05-01
Gerald Edelman acquires Vista Partners,"Gerald Edelman, Vista Partners",Undisclosed,"Redhill, Surrey-based firm serving owner-managed businesses across Surrey, Sussex and the South East.","Redhill, Surrey-based firm serving owner-managed businesses across Surrey, Sussex and the South East.",2025-07-24
Coxeys acquires Barnes Cooper,"Coxeys, Barnes Cooper Ltd",Undisclosed,Chester/North Wales; 250 clients and 4 staff transfer to Coxeys' Saltney office. Third merger in 7 years.,Chester/North Wales; 250 clients and 4 staff transfer to Coxeys' Saltney office. Third merger in 7 years.,2025-06-01
Randall & Payne acquires Little and Company,"Randall & Payne, Little and Company",Undisclosed,"Cheltenham-based R&P (145-year heritage, 50 staff) acquires Gloucester-based firm; 14-strong team retained.","Cheltenham-based R&P (145-year heritage, 50 staff) acquires Gloucester-based firm; 14-strong team retained.",2025-07-10
Spurling Cannon acquires Cantium Accountants,"Spurling Cannon, Cantium Accountants",Undisclosed,"Tonbridge, Kent; founder retirement succession. Spurling Cannon's third office, 70+ staff and 9 directors.","Tonbridge, Kent; founder retirement succession. Spurling Cannon's third office, 70+ staff and 9 directors.",2025-10-01
BookCheck acquires Rickard Luckin payroll clients,"BookCheck, Rickard Luckin",Undisclosed,Several hundred payroll clients and 6 staff transfer from Essex to Gloucestershire-based payroll specialist.,Several hundred payroll clients and 6 staff transfer from Essex to Gloucestershire-based payroll specialist.,2025-01-24
Ashmole & Co acquires JonesWard,"Ashmole & Co, JonesWard",Undisclosed,"Carmarthen, Wales; JonesWard staff including founders transfer to Ashmole's Quay office.","Carmarthen, Wales; JonesWard staff including founders transfer to Ashmole's Quay office.",2025-06-01
Milsted Langdon FS merges with Lewins Investments,"Milsted Langdon Financial Services, Lewins Investments",Undisclosed,Financial services subsidiary merger. Limited public detail.,Financial services subsidiary merger. Limited public detail.,2025-06-09
Begbies Traynor acquires Kirkby Diamond,"Begbies Traynor (Eddisons), Kirkby Diamond",£8.25m (£5m initial + £3.25m earn-out),"Regional real estate consultancy (62 staff, £6.2m revenue, 5 offices). Extends Eddisons along M1 corridor.","Regional real estate consultancy (62 staff, £6.2m revenue, 5 offices). Extends Eddisons along M1 corridor.",2025-11-26
Begbies Traynor acquires Network Auctions,"Begbies Traynor (Eddisons), Network Auctions",Up to £1.0m,"South-east property auctioneer (5 staff, ~£0.6m revenue). Adds scale to Eddisons' auctions business.","South-east property auctioneer (5 staff, ~£0.6m revenue). Adds scale to Eddisons' auctions business.",2025-11-25
Royston Parkin completes MBO,Royston Parkin,Undisclosed,Sheffield/Doncaster firm (est. 1930s). Emily Kirk becomes MD; plans to leverage cloud and AI tools.,Sheffield/Doncaster firm (est. 1930s). Emily Kirk becomes MD; plans to leverage cloud and AI tools.,2025-07-01
TC Murray Harcourt completes MBO,TC Murray Harcourt,Undisclosed,"Leeds member firm of TC Group. Two new equity partners (Andy Nichols, Neil Potter) join founding partner Mark Hunter.","Leeds member firm of TC Group. Two new equity partners (Andy Nichols, Neil Potter) join founding partner Mark Hunter.",2025-02-20
YMU Business Management MBO creates OJK,YMU Business Management (now OJK Business Management),Undisclosed,Simon Cowell's agency YMU sells ~85-strong accountancy firm via MBO. Now led by Julie Symes and Simon Petrie.,Simon Cowell's agency YMU sells ~85-strong accountancy firm via MBO. Now led by Julie Symes and Simon Petrie.,2025-01-15
